Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
Interstellar,2014,169,Adventure,8.6,Christopher Nolan,Matthew McConaughey,1512360,188020017.0,74.0
Cidade de Deus,2002,130,Crime,8.6,Fernando Meirelles,Kátia Lund,699256,7563397.0,79.0
Sen to Chihiro no kamikakushi,2001,125,Animation,8.6,Hayao Miyazaki,Daveigh Chase,651376,10055859.0,96.0
Saving Private Ryan,1998,169,Drama,8.6,Steven Spielberg,Tom Hanks,1235804,216540909.0,91.0
The Green Mile,1999,189,Crime,8.6,Frank Darabont,Tom Hanks,1147794,136801374.0,61.0
La vita è bella,1997,116,Comedy,8.6,Roberto Benigni,Roberto Benigni,623629,57598247.0,59.0
Se7en,1995,127,Crime,8.6,David Fincher,Morgan Freeman,1445096,100125643.0,65.0
The Silence of the Lambs,1991,118,Crime,8.6,Jonathan Demme,Jodie Foster,1270197,130742922.0,85.0
Star Wars,1977,121,Action,8.6,George Lucas,Mark Hamill,1231473,322740140.0,90.0
Seppuku,1962,133,Action,8.6,Masaki Kobayashi,Tatsuya Nakadai,42004,373978394.0,85.0
Shichinin no samurai,1954,207,Action,8.6,Akira Kurosawa,Toshirô Mifune,315744,269061.0,98.0
It's a Wonderful Life,1946,130,Drama,8.6,Frank Capra,James Stewart,405801,82385199.0,89.0
Joker,2019,122,Crime,8.5,Todd Phillips,Joaquin Phoenix,939252,335451311.0,59.0
Whiplash,2014,106,Drama,8.5,Damien Chazelle,Miles Teller,717585,13092000.0,88.0
The Intouchables,2011,112,Biography,8.5,Olivier Nakache,Éric Toledano,760360,13182281.0,57.0
The Prestige,2006,130,Drama,8.5,Christopher Nolan,Christian Bale,1190259,53089891.0,66.0
The Departed,2006,151,Crime,8.5,Martin Scorsese,Leonardo DiCaprio,1189773,132384315.0,85.0
The Pianist,2002,150,Biography,8.5,Roman Polanski,Adrien Brody,729603,32572577.0,85.0
Gladiator,2000,155,Action,8.5,Ridley Scott,Russell Crowe,1341460,187705427.0,67.0
American History X,1998,119,Drama,8.5,Tony Kaye,Edward Norton,1034705,6719864.0,62.0
The Usual Suspects,1995,106,Crime,8.5,Bryan Singer,Kevin Spacey,991208,23341568.0,77.0
Léon,1994,110,Action,8.5,Luc Besson,Jean Reno,1035236,19501238.0,64.0
The Lion King,1994,88,Animation,8.5,Roger Allers,Rob Minkoff,942045,422783777.0,88.0
Terminator 2: Judgment Day,1991,137,Action,8.5,James Cameron,Arnold Schwarzenegger,995506,204843350.0,75.0
Nuovo Cinema Paradiso,1988,155,Drama,8.5,Giuseppe Tornatore,Philippe Noiret,230763,11990401.0,80.0
Hotaru no haka,1988,89,Animation,8.5,Isao Takahata,Tsutomu Tatsumi,235231,150734678.0,94.0
Back to the Future,1985,116,Adventure,8.5,Robert Zemeckis,Michael J. Fox,1058081,210609762.0,87.0
Once Upon a Time in the West,1968,165,Western,8.5,Sergio Leone,Henry Fonda,302844,5321508.0,80.0
Psycho,1960,109,Horror,8.5,Alfred Hitchcock,Anthony Perkins,604211,32000000.0,97.0
Casablanca,1942,102,Drama,8.5,Michael Curtiz,Humphrey Bogart,522093,1024560.0,100.0
Modern Times,1936,87,Comedy,8.5,Charles Chaplin,Charles Chaplin,217881,163245.0,96.0
City Lights,1931,87,Comedy,8.5,Charles Chaplin,Charles Chaplin,167839,19181.0,99.0
Capharnaüm,2018,126,Drama,8.4,Nadine Labaki,Zain Al Rafeea,62635,1661096.0,75.0
Ayla: The Daughter of War,2017,125,Biography,8.4,Can Ulkay,Erdem Can,34112,679278040.0,
Vikram Vedha,2017,147,Action,8.4,Gayatri,Pushkar,28401,357599391.0,
Kimi no na wa.,2016,106,Animation,8.4,Makoto Shinkai,Ryûnosuke Kamiki,194838,5017246.0,79.0
Dangal,2016,161,Action,8.4,Nitesh Tiwari,Aamir Khan,156479,12391761.0,
Spider-Man: Into the Spider-Verse,2018,117,Animation,8.4,Bob Persichetti,Peter Ramsey,375110,190241310.0,87.0
Avengers: Endgame,2019,181,Action,8.4,Anthony Russo,Joe Russo,809955,858373000.0,78.0
Avengers: Infinity War,2018,149,Action,8.4,Anthony Russo,Joe Russo,834477,678815482.0,68.0
Coco,2017,105,Animation,8.4,Lee Unkrich,Adrian Molina,384171,209726015.0,81.0
Django Unchained,2012,165,Drama,8.4,Quentin Tarantino,Jamie Foxx,1357682,162805434.0,81.0
The Dark Knight Rises,2012,164,Action,8.4,Christopher Nolan,Christian Bale,1516346,448139099.0,78.0
3 Idiots,2009,170,Comedy,8.4,Rajkumar Hirani,Aamir Khan,344445,6532908.0,67.0
Taare Zameen Par,2007,165,Drama,8.4,Aamir Khan,Amole Gupte,168895,1223869.0,
WALL·E,2008,98,Animation,8.4,Andrew Stanton,Ben Burtt,999790,223808164.0,95.0
The Lives of Others,2006,137,Drama,8.4,Florian Henckel von Donnersmarck,Ulrich Mühe,358685,11286112.0,89.0
Oldeuboi,2003,101,Action,8.4,Chan-wook Park,Choi Min-sik,515451,707481.0,77.0
Memento,2000,113,Mystery,8.4,Christopher Nolan,Guy Pearce,1125712,25544867.0,80.0
Mononoke-hime,1997,134,Animation,8.4,Hayao Miyazaki,Yôji Matsuda,343171,2375308.0,76.0
Once Upon a Time in America,1984,229,Crime,8.4,Sergio Leone,Robert De Niro,311365,5321508.0,
Raiders of the Lost Ark,1981,115,Action,8.4,Steven Spielberg,Harrison Ford,884112,248159971.0,85.0
The Shining,1980,146,Drama,8.4,Stanley Kubrick,Jack Nicholson,898237,44017374.0,66.0
Apocalypse Now,1979,147,Drama,8.4,Francis Ford Coppola,Martin Sheen,606398,83471511.0,94.0
Alien,1979,117,Horror,8.4,Ridley Scott,Sigourney Weaver,787806,78900000.0,89.0
Anand,1971,122,Drama,8.4,Hrishikesh Mukherjee,Rajesh Khanna,30273,472504446.0,
Tengoku to jigoku,1963,143,Crime,8.4,Akira Kurosawa,Toshirô Mifune,34357,620361655.0,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.4,Stanley Kubrick,Peter Sellers,450474,275902.0,97.0
Witness for the Prosecution,1957,116,Crime,8.4,Billy Wilder,Tyrone Power,108862,8175000.0,
Paths of Glory,1957,88,Drama,8.4,Stanley Kubrick,Kirk Douglas,178092,518311052.0,90.0
Rear Window,1954,112,Mystery,8.4,Alfred Hitchcock,James Stewart,444074,36764313.0,100.0
Sunset Blvd.,1950,110,Drama,8.4,Billy Wilder,William Holden,201632,506055932.0,
The Great Dictator,1940,125,Comedy,8.4,Charles Chaplin,Charles Chaplin,203150,288475.0,
1917,2019,119,Drama,8.3,Sam Mendes,Dean-Charles Chapman,425844,159227644.0,78.0
Tumbbad,2018,104,Drama,8.3,Rahi Anil Barve,Anand Gandhi,27793,755669279.0,
Andhadhun,2018,139,Crime,8.3,Sriram Raghavan,Ayushmann Khurrana,71875,1373943.0,
Drishyam,2013,160,Crime,8.3,Jeethu Joseph,Mohanlal,30722,11339376.0,
Jagten,2012,115,Drama,8.3,Thomas Vinterberg,Mads Mikkelsen,281623,687185.0,77.0
Jodaeiye Nader az Simin,2011,123,Drama,8.3,Asghar Farhadi,Payman Maadi,220002,7098492.0,95.0
Incendies,2010,131,Drama,8.3,Denis Villeneuve,Lubna Azabal,150023,6857096.0,80.0
Miracle in cell NO.7,2019,132,Drama,8.3,Mehmet Ada Öztekin,Aras Bulut Iynemli,33935,846784112.0,
Babam ve Oglum,2005,112,Drama,8.3,Çagan Irmak,Çetin Tekindor,78925,461855363.0,
Inglourious Basterds,2009,153,Adventure,8.3,Quentin Tarantino,Brad Pitt,1267869,120540719.0,69.0
Eternal Sunshine of the Spotless Mind,2004,108,Drama,8.3,Michel Gondry,Jim Carrey,911664,34400301.0,89.0
Amélie,2001,122,Comedy,8.3,Jean-Pierre Jeunet,Audrey Tautou,703810,33225499.0,69.0
Snatch,2000,104,Comedy,8.3,Guy Ritchie,Jason Statham,782001,30328156.0,55.0
Requiem for a Dream,2000,102,Drama,8.3,Darren Aronofsky,Ellen Burstyn,766870,3635482.0,68.0
American Beauty,1999,122,Drama,8.3,Sam Mendes,Kevin Spacey,1069738,130096601.0,84.0
Good Will Hunting,1997,126,Drama,8.3,Gus Van Sant,Robin Williams,861606,138433435.0,70.0
Bacheha-Ye aseman,1997,89,Drama,8.3,Majid Majidi,Mohammad Amir Naji,65341,933933.0,77.0
Toy Story,1995,81,Animation,8.3,John Lasseter,Tom Hanks,887429,191796233.0,95.0
Braveheart,1995,178,Biography,8.3,Mel Gibson,Mel Gibson,959181,75600000.0,68.0
Reservoir Dogs,1992,99,Crime,8.3,Quentin Tarantino,Harvey Keitel,918562,2832029.0,79.0
Full Metal Jacket,1987,116,Drama,8.3,Stanley Kubrick,Matthew Modine,675146,46357676.0,76.0
Idi i smotri,1985,142,Drama,8.3,Elem Klimov,Aleksey Kravchenko,59056,728423774.0,
Aliens,1986,137,Action,8.3,James Cameron,Sigourney Weaver,652719,85160248.0,84.0
Amadeus,1984,160,Biography,8.3,Milos Forman,F. Murray Abraham,369007,51973029.0,88.0
Scarface,1983,170,Crime,8.3,Brian De Palma,Al Pacino,740911,45598982.0,65.0
Star Wars: Episode VI - Return of the Jedi,1983,131,Action,8.3,Richard Marquand,Mark Hamill,950470,309125409.0,58.0
Das Boot,1981,149,Adventure,8.3,Wolfgang Petersen,Jürgen Prochnow,231855,11487676.0,86.0
Taxi Driver,1976,114,Crime,8.3,Martin Scorsese,Robert De Niro,724636,28262574.0,94.0
The Sting,1973,129,Comedy,8.3,George Roy Hill,Paul Newman,241513,159600000.0,83.0
A Clockwork Orange,1971,136,Crime,8.3,Stanley Kubrick,Malcolm McDowell,757904,6207725.0,77.0
2001: A Space Odyssey,1968,149,Adventure,8.3,Stanley Kubrick,Keir Dullea,603517,56954992.0,84.0
Per qualche dollaro in più,1965,132,Western,8.3,Sergio Leone,Clint Eastwood,232772,15000000.0,74.0
Lawrence of Arabia,1962,228,Adventure,8.3,David Lean,Peter O'Toole,268085,44824144.0,100.0
The Apartment,1960,125,Comedy,8.3,Billy Wilder,Jack Lemmon,164363,18600000.0,94.0
North by Northwest,1959,136,Adventure,8.3,Alfred Hitchcock,Cary Grant,299198,13275000.0,98.0
Vertigo,1958,128,Mystery,8.3,Alfred Hitchcock,James Stewart,364368,3200000.0,100.0
Singin' in the Rain,1952,103,Comedy,8.3,Stanley Donen,Gene Kelly,218957,8819028.0,99.0
Ikiru,1952,143,Drama,8.3,Akira Kurosawa,Takashi Shimura,68463,55240.0,
Ladri di biciclette,1948,89,Drama,8.3,Vittorio De Sica,Lamberto Maggiorani,146427,332930.0,
Double Indemnity,1944,107,Crime,8.3,Billy Wilder,Fred MacMurray,143525,5720000.0,95.0
Citizen Kane,1941,119,Drama,8.3,Orson Welles,Orson Welles,403351,1585634.0,100.0
M - Eine Stadt sucht einen Mörder,1931,117,Crime,8.3,Fritz Lang,Peter Lorre,143434,28877.0,
Metropolis,1927,153,Drama,8.3,Fritz Lang,Brigitte Helm,159992,1236166.0,98.0
The Kid,1921,68,Comedy,8.3,Charles Chaplin,Charles Chaplin,113314,5450000.0,
Chhichhore,2019,143,Comedy,8.2,Nitesh Tiwari,Sushant Singh Rajput,33893,898575.0,
Uri: The Surgical Strike,2018,138,Action,8.2,Aditya Dhar,Vicky Kaushal,43444,4186168.0,
K.G.F: Chapter 1,2018,156,Action,8.2,Prashanth Neel,Yash,36680,811875821.0,
Green Book,2018,130,Biography,8.2,Peter Farrelly,Viggo Mortensen,377884,85080171.0,69.0
"Three Billboards Outside Ebbing, Missouri",2017,115,Comedy,8.2,Martin McDonagh,Frances McDormand,432610,54513740.0,88.0
Talvar,2015,132,Crime,8.2,Meghna Gulzar,Irrfan Khan,31142,342370.0,
Baahubali 2: The Conclusion,2017,167,Action,8.2,S.S. Rajamouli,Prabhas,75348,20186659.0,
Klaus,2019,96,Animation,8.2,Sergio Pablos,Carlos Martínez López,104761,148596026.0,65.0
Drishyam,2015,163,Crime,8.2,Nishikant Kamat,Ajay Devgn,70367,739478.0,
Queen,2013,146,Adventure,8.2,Vikas Bahl,Kangana Ranaut,60701,1429534.0,
Mandariinid,2013,87,Drama,8.2,Zaza Urushadze,Lembit Ulfsak,40382,144501.0,73.0
Bhaag Milkha Bhaag,2013,186,Biography,8.2,Rakeysh Omprakash Mehra,Farhan Akhtar,61137,1626289.0,
Gangs of Wasseypur,2012,321,Action,8.2,Anurag Kashyap,Manoj Bajpayee,82365,5257741.0,89.0
Udaan,2010,134,Drama,8.2,Vikramaditya Motwane,Rajat Barmecha,42341,7461.0,
Paan Singh Tomar,2012,135,Action,8.2,Tigmanshu Dhulia,Irrfan Khan,33237,39567.0,
El secreto de sus ojos,2009,129,Drama,8.2,Juan José Campanella,Ricardo Darín,193217,6391436.0,80.0
Warrior,2011,140,Action,8.2,Gavin O'Connor,Tom Hardy,435950,13657115.0,71.0
Shutter Island,2010,138,Mystery,8.2,Martin Scorsese,Leonardo DiCaprio,1129894,128012934.0,63.0
Up,2009,96,Animation,8.2,Pete Docter,Bob Peterson,935507,293004164.0,88.0
The Wolf of Wall Street,2013,180,Biography,8.2,Martin Scorsese,Leonardo DiCaprio,1187498,116900694.0,75.0
Chak De! India,2007,153,Drama,8.2,Shimit Amin,Shah Rukh Khan,74129,1113541.0,68.0
There Will Be Blood,2007,158,Drama,8.2,Paul Thomas Anderson,Daniel Day-Lewis,517359,40222514.0,93.0
Pan's Labyrinth,2006,118,Drama,8.2,Guillermo del Toro,Ivana Baquero,618623,37634615.0,98.0
Toy Story 3,2010,103,Animation,8.2,Lee Unkrich,Tom Hanks,757032,415004880.0,92.0
V for Vendetta,2005,132,Action,8.2,James McTeigue,Hugo Weaving,1032749,70511035.0,62.0
Rang De Basanti,2006,167,Comedy,8.2,Rakeysh Omprakash Mehra,Aamir Khan,111937,2197331.0,
Black,2005,122,Drama,8.2,Sanjay Leela Bhansali,Amitabh Bachchan,33354,733094.0,
Batman Begins,2005,140,Action,8.2,Christopher Nolan,Christian Bale,1308302,206852432.0,70.0
"Swades: We, the People",2004,210,Drama,8.2,Ashutosh Gowariker,Shah Rukh Khan,83005,1223240.0,
Der Untergang,2004,156,Biography,8.2,Oliver Hirschbiegel,Bruno Ganz,331308,5509040.0,82.0
Hauru no ugoku shiro,2004,119,Animation,8.2,Hayao Miyazaki,Chieko Baishô,333915,4711096.0,80.0
A Beautiful Mind,2001,135,Biography,8.2,Ron Howard,Russell Crowe,848920,170742341.0,72.0
Hera Pheri,2000,156,Action,8.2,Priyadarshan,Akshay Kumar,57057,177903165.0,
"Lock, Stock and Two Smoking Barrels",1998,107,Action,8.2,Guy Ritchie,Jason Flemyng,535216,3897569.0,66.0
L.A. Confidential,1997,138,Crime,8.2,Curtis Hanson,Kevin Spacey,531967,64616940.0,90.0
Eskiya,1996,128,Crime,8.2,Yavuz Turgul,Sener Sen,64118,764480450.0,
Heat,1995,170,Crime,8.2,Michael Mann,Al Pacino,577113,67436818.0,76.0
Casino,1995,178,Crime,8.2,Martin Scorsese,Robert De Niro,466276,42438300.0,73.0
Andaz Apna Apna,1994,160,Action,8.2,Rajkumar Santoshi,Aamir Khan,49300,213351844.0,
Unforgiven,1992,130,Drama,8.2,Clint Eastwood,Clint Eastwood,375935,101157447.0,85.0
Indiana Jones and the Last Crusade,1989,127,Action,8.2,Steven Spielberg,Harrison Ford,692366,197171806.0,65.0
Dom za vesanje,1988,142,Comedy,8.2,Emir Kusturica,Davor Dujmovic,26402,280015.0,
Tonari no Totoro,1988,86,Animation,8.2,Hayao Miyazaki,Hitoshi Takagi,291180,1105564.0,86.0
Die Hard,1988,132,Action,8.2,John McTiernan,Bruce Willis,793164,83008852.0,72.0
Ran,1985,162,Action,8.2,Akira Kurosawa,Tatsuya Nakadai,112505,4135750.0,96.0
Raging Bull,1980,129,Biography,8.2,Martin Scorsese,Robert De Niro,321860,23383987.0,89.0
Stalker,1979,162,Drama,8.2,Andrei Tarkovsky,Alisa Freyndlikh,116945,234723.0,
Höstsonaten,1978,99,Drama,8.2,Ingmar Bergman,Ingrid Bergman,26875,231949286.0,
The Message,1976,177,Biography,8.2,Moustapha Akkad,Anthony Quinn,43885,216427395.0,
Sholay,1975,204,Action,8.2,Ramesh Sippy,Sanjeev Kumar,51284,932069480.0,
Monty Python and the Holy Grail,1975,91,Adventure,8.2,Terry Gilliam,Terry Jones,500875,1229197.0,91.0
The Great Escape,1963,172,Adventure,8.2,John Sturges,Steve McQueen,224730,12100000.0,86.0
To Kill a Mockingbird,1962,129,Crime,8.2,Robert Mulligan,Gregory Peck,293811,504340883.0,88.0
Yôjinbô,1961,110,Action,8.2,Akira Kurosawa,Toshirô Mifune,111244,474518350.0,
Judgment at Nuremberg,1961,179,Drama,8.2,Stanley Kramer,Spencer Tracy,69458,867589901.0,60.0
Some Like It Hot,1959,121,Comedy,8.2,Billy Wilder,Marilyn Monroe,243943,25000000.0,98.0
Smultronstället,1957,91,Drama,8.2,Ingmar Bergman,Victor Sjöström,96381,144259257.0,88.0
Det sjunde inseglet,1957,96,Drama,8.2,Ingmar Bergman,Max von Sydow,164939,805742063.0,88.0
Du rififi chez les hommes,1955,118,Crime,8.2,Jules Dassin,Jean Servais,28810,57226.0,97.0
Dial M for Murder,1954,105,Crime,8.2,Alfred Hitchcock,Ray Milland,158335,12562.0,75.0
Tôkyô monogatari,1953,136,Drama,8.2,Yasujirô Ozu,Chishû Ryû,53153,129117599.0,
Rashômon,1950,88,Crime,8.2,Akira Kurosawa,Toshirô Mifune,152572,96568.0,98.0
All About Eve,1950,138,Drama,8.2,Joseph L. Mankiewicz,Bette Davis,120539,10177.0,98.0
The Treasure of the Sierra Madre,1948,126,Adventure,8.2,John Huston,Humphrey Bogart,114304,5014000.0,98.0
To Be or Not to Be,1942,99,Comedy,8.2,Ernst Lubitsch,Carole Lombard,29915,11914855.0,86.0
The Gold Rush,1925,95,Adventure,8.2,Charles Chaplin,Charles Chaplin,101053,5450000.0,
Sherlock Jr.,1924,45,Action,8.2,Buster Keaton,Buster Keaton,41985,977375.0,
Portrait de la jeune fille en feu,2019,122,Drama,8.1,Céline Sciamma,Noémie Merlant,63134,3759854.0,95.0
Pink,2016,136,Drama,8.1,Aniruddha Roy Chowdhury,Taapsee Pannu,39216,1241223.0,
Koe no katachi,2016,130,Animation,8.1,Naoko Yamada,Miyu Irino,47708,37039721.0,78.0
Contratiempo,2016,106,Crime,8.1,Oriol Paulo,Mario Casas,141516,29756639.0,
Ah-ga-ssi,2016,145,Drama,8.1,Chan-wook Park,Kim Min-hee,113649,2006788.0,84.0
Mommy,2014,139,Drama,8.1,Xavier Dolan,Anne Dorval,50700,3492754.0,74.0
Haider,2014,160,Action,8.1,Vishal Bhardwaj,Shahid Kapoor,50445,901610.0,
Logan,2017,137,Action,8.1,James Mangold,Hugh Jackman,647884,226277068.0,77.0
Room,2015,118,Drama,8.1,Lenny Abrahamson,Brie Larson,371538,14677674.0,86.0
Relatos salvajes,2014,122,Comedy,8.1,Damián Szifron,Darío Grandinetti,177059,3107072.0,77.0
Soul,2020,100,Animation,8.1,Pete Docter,Kemp Powers,159171,321826155.0,83.0
Kis Uykusu,2014,196,Drama,8.1,Nuri Bilge Ceylan,Haluk Bilginer,46547,165520.0,88.0
PK,2014,153,Comedy,8.1,Rajkumar Hirani,Aamir Khan,163061,10616104.0,
OMG: Oh My God!,2012,125,Comedy,8.1,Umesh Shukla,Paresh Rawal,51739,923221.0,
The Grand Budapest Hotel,2014,99,Adventure,8.1,Wes Anderson,Ralph Fiennes,707630,59100318.0,88.0
Gone Girl,2014,149,Drama,8.1,David Fincher,Ben Affleck,859695,167767189.0,79.0
Ôkami kodomo no Ame to Yuki,2012,117,Animation,8.1,Mamoru Hosoda,Aoi Miyazaki,38803,224400323.0,71.0
Hacksaw Ridge,2016,139,Biography,8.1,Mel Gibson,Andrew Garfield,435928,67209615.0,71.0
Inside Out,2015,95,Animation,8.1,Pete Docter,Ronnie Del Carmen,616228,356461711.0,94.0
Barfi!,2012,151,Comedy,8.1,Anurag Basu,Ranbir Kapoor,75721,2804874.0,
12 Years a Slave,2013,134,Biography,8.1,Steve McQueen,Chiwetel Ejiofor,640533,56671993.0,96.0
Rush,2013,123,Action,8.1,Ron Howard,Daniel Brühl,432811,26947624.0,74.0
Ford v Ferrari,2019,152,Action,8.1,James Mangold,Matt Damon,291289,117624028.0,81.0
Spotlight,2015,129,Biography,8.1,Tom McCarthy,Mark Ruffalo,420316,45055776.0,93.0
Song of the Sea,2014,93,Animation,8.1,Tomm Moore,David Rawle,51679,857524.0,85.0
Kahaani,2012,122,Mystery,8.1,Sujoy Ghosh,Vidya Balan,57806,1035953.0,
Zindagi Na Milegi Dobara,2011,155,Comedy,8.1,Zoya Akhtar,Hrithik Roshan,67927,3108485.0,
Prisoners,2013,153,Crime,8.1,Denis Villeneuve,Hugh Jackman,601149,61002302.0,70.0
Mad Max: Fury Road,2015,120,Action,8.1,George Miller,Tom Hardy,882316,154058340.0,90.0
A Wednesday,2008,104,Action,8.1,Neeraj Pandey,Anupam Kher,73891,573329738.0,
Gran Torino,2008,116,Drama,8.1,Clint Eastwood,Clint Eastwood,720450,148095302.0,72.0
Harry Potter and the Deathly Hallows: Part 2,2011,130,Adventure,8.1,David Yates,Daniel Radcliffe,764493,381011219.0,85.0
Okuribito,2008,130,Drama,8.1,Yôjirô Takita,Masahiro Motoki,48582,1498210.0,68.0
Hachi: A Dog's Tale,2009,93,Biography,8.1,Lasse Hallström,Richard Gere,253575,91090444.0,
Mary and Max,2009,92,Animation,8.1,Adam Elliot,Toni Collette,164462,873839108.0,
How to Train Your Dragon,2010,98,Animation,8.1,Dean DeBlois,Chris Sanders,666773,217581231.0,75.0
Into the Wild,2007,148,Adventure,8.1,Sean Penn,Emile Hirsch,572921,18354356.0,73.0
No Country for Old Men,2007,122,Crime,8.1,Ethan Coen,Joel Coen,856916,74283625.0,91.0
Lage Raho Munna Bhai,2006,144,Comedy,8.1,Rajkumar Hirani,Sanjay Dutt,43137,2217561.0,
Million Dollar Baby,2004,132,Drama,8.1,Clint Eastwood,Hilary Swank,635975,100492203.0,86.0
Hotel Rwanda,2004,121,Biography,8.1,Terry George,Don Cheadle,334320,23530892.0,79.0
Taegukgi hwinalrimyeo,2004,140,Action,8.1,Je-kyu Kang,Jang Dong-Gun,37820,1111061.0,64.0
Before Sunset,2004,80,Drama,8.1,Richard Linklater,Ethan Hawke,236311,5820649.0,90.0
Munna Bhai M.B.B.S.,2003,156,Comedy,8.1,Rajkumar Hirani,Sanjay Dutt,73992,43851222.0,
Salinui chueok,2003,131,Crime,8.1,Bong Joon Ho,Kang-ho Song,139558,14131.0,82.0
Dil Chahta Hai,2001,183,Comedy,8.1,Farhan Akhtar,Aamir Khan,66803,300000.0,
Kill Bill: Vol. 1,2003,111,Action,8.1,Quentin Tarantino,Uma Thurman,1000639,70099045.0,69.0
Finding Nemo,2003,100,Animation,8.1,Andrew Stanton,Lee Unkrich,949565,380843261.0,90.0
Catch Me If You Can,2002,141,Biography,8.1,Steven Spielberg,Leonardo DiCaprio,832846,164615351.0,75.0
Amores perros,2000,154,Drama,8.1,Alejandro G. Iñárritu,Emilio Echevarría,223741,5383834.0,83.0
"Monsters, Inc.",2001,92,Animation,8.1,Pete Docter,David Silverman,815505,289916256.0,79.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,Animation,8.1,Hideaki Anno,Kazuya Tsurumaki,38847,364744762.0,
Lagaan: Once Upon a Time in India,2001,224,Adventure,8.1,Ashutosh Gowariker,Aamir Khan,105036,70147.0,84.0
The Sixth Sense,1999,107,Drama,8.1,M. Night Shyamalan,Bruce Willis,911573,293506292.0,64.0
La leggenda del pianista sull'oceano,1998,169,Drama,8.1,Giuseppe Tornatore,Tim Roth,59020,259127.0,58.0
The Truman Show,1998,103,Comedy,8.1,Peter Weir,Jim Carrey,939631,125618201.0,90.0
"Crna macka, beli macor",1998,127,Comedy,8.1,Emir Kusturica,Bajram Severdzan,50862,348660.0,73.0
The Big Lebowski,1998,117,Comedy,8.1,Joel Coen,Ethan Coen,732620,17498804.0,71.0
Fa yeung nin wah,2000,98,Drama,8.1,Kar-Wai Wong,Tony Chiu-Wai Leung,124383,2734044.0,85.0
Trainspotting,1996,93,Drama,8.1,Danny Boyle,Ewan McGregor,634716,16501785.0,83.0
Fargo,1996,98,Crime,8.1,Joel Coen,Ethan Coen,617444,24611975.0,85.0
Underground,1995,170,Comedy,8.1,Emir Kusturica,Predrag 'Miki' Manojlovic,55220,171082.0,
La haine,1995,98,Crime,8.1,Mathieu Kassovitz,Vincent Cassel,150345,309811.0,
Dilwale Dulhania Le Jayenge,1995,189,Drama,8.1,Aditya Chopra,Shah Rukh Khan,63516,15121644.0,
Before Sunrise,1995,101,Drama,8.1,Richard Linklater,Ethan Hawke,272291,5535405.0,77.0
Trois couleurs: Rouge,1994,99,Drama,8.1,Krzysztof Kieslowski,Irène Jacob,90729,4043686.0,100.0
Chung Hing sam lam,1994,102,Comedy,8.1,Kar-Wai Wong,Brigitte Lin,63122,600200.0,77.0
Jurassic Park,1993,127,Action,8.1,Steven Spielberg,Sam Neill,867615,402453882.0,68.0
