Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount,Currency,Account
2/19/2022 20:45,CUB - online payment,Transportation,,Took from sbi,200,Expense,,200,INR,200
2/19/2022 20:45,CUB - online payment,Food,,Ramen with gobi,380,Expense,,380,INR,380
2/19/2022 8:26,CUB - online payment,Transportation,,Metro,60,Expense,,60,INR,60
2/19/2022 6:27,CUB - online payment,Other,,To auto anna,50,Expense,,50,INR,50
2/19/2022 6:18,CUB - online payment,Transportation,,To egmore,270,Expense,,270,INR,270
2/18/2022 23:01,CUB - online payment,Food,,Kfc dinner,348,Expense,,348,INR,348
2/17/2022 13:11,CUB - online payment,Food,,Lunch,80,Expense,,80,INR,80
2/16/2022 16:57,CUB - online payment,Food,,Side dishes,165,Expense,,165,INR,165
2/16/2022 16:57,CUB - online payment,Food,,Kfc ,475,Expense,,475,INR,475
2/13/2022 21:54,CUB - online payment,Social Life,,Games ,100,Expense,,100,INR,100
2/12/2022 21:20,CUB - online payment,Food,,Dinner with aravind and buddies,491,Expense,,491,INR,491
2/12/2022 16:04,CUB - online payment,Household,,Mirror,70,Expense,,70,INR,70
2/12/2022 14:48,CUB - online payment,Food,,Lunch,80,Expense,,80,INR,80
2/12/2022 14:47,CUB - online payment,Other,,From dad,10000,Income,,10000,INR,10000
2/11/2022 22:41,CUB - online payment,Food,,Dinner with aravind,373,Expense,,373,INR,373
2/10/2022 20:15,CUB - online payment,Food,,Kfc dinner,641,Expense,,641,INR,641
2/8/2022 10:37,CUB - online payment,Other,,From dad,1000,Income,,1000,INR,1000
2/8/2022 9:18,CUB - online payment,Household,,Bean bag,2099,Expense,,2099,INR,2099
2/7/2022 7:08,CUB - online payment,Transportation,,Auto to Gobi's place,214,Expense,,214,INR,214
2/6/2022 18:32,CUB - online payment,Food,,Cakepark,125,Expense,,125,INR,125
2/6/2022 17:53,CUB - online payment,Food,,To kumara,150,Expense,,150,INR,150
2/6/2022 17:52,CUB - online payment,Transportation,,To chennai,1000,Expense,,1000,INR,1000
2/6/2022 16:41,CUB - online payment,Other,,Salary from dad,5000,Income,,5000,INR,5000
2/6/2022 16:40,CUB - online payment,Other,,To gobi,1500,Expense,,1500,INR,1500
2/4/2022 20:28,CUB - online payment,Food,,Shawarma,80,Expense,,80,INR,80
2/3/2022 14:53,CUB - online payment,Food,,Good soup,50,Expense,,50,INR,50
2/3/2022 8:59,CUB - online payment,Other,,To gowdham,150,Expense,,150,INR,150
2/2/2022 20:15,CUB - online payment,Food,,Parotta,120,Expense,,120,INR,120
2/2/2022 20:14,CUB - online payment,Other,,From dad,500,Income,,500,INR,500
1/31/2022 8:44,CUB - online payment,Transportation,,Vnr to apk,50,Expense,,50,INR,50
1/31/2022 8:27,CUB - online payment,Other,,To vicky,200,Expense,,200,INR,200
1/31/2022 8:26,CUB - online payment,Transportation,,To ksr station,153,Expense,,153,INR,153
1/30/2022 19:17,CUB - online payment,Food,,Dinner,155,Expense,,155,INR,155
1/30/2022 19:01,CUB - online payment,Food,,Cycle gap ,120,Expense,,120,INR,120
1/30/2022 12:28,CUB - online payment,Food,,Brunch,105,Expense,,105,INR,105
1/29/2022 21:56,CUB - online payment,Transportation,,Rapido to pg,44,Expense,,44,INR,44
1/29/2022 14:44,CUB - online payment,Other,,Sent to barath,100,Expense,,100,INR,100
1/28/2022 21:58,CUB - online payment,Food,,Banana,10,Expense,,10,INR,10
1/28/2022 14:23,CUB - online payment,Food,,Lunch with company,138,Expense,,138,INR,138
1/27/2022 21:25,CUB - online payment,Transportation,,Rapido to pg,43,Expense,,43,INR,43
1/27/2022 13:41,CUB - online payment,Other,,To vicky,300,Expense,,300,INR,300
1/27/2022 13:41,CUB - online payment,Other,,To vishnu,100,Expense,,100,INR,100
1/27/2022 13:39,CUB - online payment,Food,,Zinger box meal,279,Expense,,279,INR,279
1/27/2022 13:38,CUB - online payment,Other,,From vicky,300,Income,,300,INR,300
1/27/2022 13:38,CUB - online payment,Other,,From dad,1500,Income,,1500,INR,1500
1/26/2022 17:45,CUB - online payment,Food,,Snacks,115,Expense,,115,INR,115
1/26/2022 17:45,CUB - online payment,Other,,Vishnu 100 gowdham 25,125,Income,,125,INR,125
1/26/2022 16:52,CUB - online payment,Food,,Paani poori,25,Expense,,25,INR,25
1/25/2022 13:35,CUB - online payment,Food,,Kfc date with myself,259,Expense,,259,INR,259
1/25/2022 10:23,CUB - online payment,Food,,Lemon tea,18,Expense,,18,INR,18
1/25/2022 9:20,CUB - online payment,Transportation,,Train to vnr,325,Expense,,325,INR,325
1/24/2022 20:17,CUB - online payment,Food,,Snack,40,Expense,,40,INR,40
1/24/2022 14:08,CUB - online payment,Food,,Lunch with company,133,Expense,,133,INR,133
1/23/2022 21:45,CUB - online payment,Food,,Pepsi,40,Expense,,40,INR,40
1/23/2022 21:41,CUB - online payment,Food,,Dinner,465,Expense,,465,INR,465
1/23/2022 21:29,CUB - online payment,Food,,Sent to vicky,300,Expense,,300,INR,300
1/23/2022 21:29,CUB - online payment,Food,,Lunch,302,Expense,,302,INR,302
1/23/2022 21:29,CUB - online payment,Other,,From vicky,310,Income,,310,INR,310
1/23/2022 21:27,CUB - online payment,Food,,Snacks with preethi and azar,176,Expense,,176,INR,176
1/23/2022 21:27,CUB - online payment,Social Life,,Badminton,200,Expense,,200,INR,200
1/23/2022 21:27,CUB - online payment,Other,,From dad,2000,Income,,2000,INR,2000
1/21/2022 14:22,CUB - online payment,Food,,Lunch with company,188,Expense,,188,INR,188
1/21/2022 11:47,CUB - online payment,Food,,Snacks,37,Expense,,37,INR,37
1/21/2022 11:47,CUB - online payment,Other,,From vicky,200,Income,,200,INR,200
1/19/2022 14:27,CUB - online payment,Food,,Lunch + chocolate for preethi,171,Expense,,171,INR,171
1/18/2022 20:54,CUB - online payment,Food,,Dinner,301.15,Expense,,301.15,INR,301.15
1/18/2022 17:10,CUB - online payment,Food,,Snack with preethi,59,Expense,,59,INR,59
1/18/2022 13:51,CUB - online payment,Food,,Lunch with company,148,Expense,,148,INR,148
1/18/2022 12:59,CUB - online payment,Other,,To kumara,200,Expense,,200,INR,200
1/18/2022 12:59,CUB - online payment,Other,,From dad,1000,Income,,1000,INR,1000
1/17/2022 18:31,CUB - online payment,Food,,Eve snack,100,Expense,,100,INR,100
1/15/2022 21:17,CUB - online payment,Transportation,,Bus to Bangalore,1365,Expense,,1365,INR,1365
1/15/2022 21:16,CUB - online payment,Other,,From dad,1500,Income,,1500,INR,1500
1/15/2022 21:16,CUB - online payment,Food,,Snacks,70,Expense,,70,INR,70
1/14/2022 16:58,CUB - online payment,Other,,Kumara,170,Income,,170,INR,170
1/14/2022 16:56,CUB - online payment,Other,,Siva + 100 cash,70,Income,,70,INR,70
1/14/2022 16:56,CUB - online payment,Other,,Gundan + prasanna,340,Income,,340,INR,340
1/14/2022 16:55,CUB - online payment,Other,,Dinesh and maddy + 100 cash,240,Income,,240,INR,240
1/14/2022 16:54,CUB - online payment,Other,,From gowdham,340,Income,,340,INR,340
1/14/2022 16:54,CUB - online payment,Food,,Lunch pongal,1530,Expense,,1530,INR,1530
1/13/2022 20:46,CUB - online payment,Food,,Dinner,66,Expense,,66,INR,66
1/13/2022 19:10,CUB - online payment,Other,,From dad,1000,Income,,1000,INR,1000
1/13/2022 17:47,CUB - online payment,Transportation,,Rapido to pg,43,Expense,,43,INR,43
1/12/2022 22:44,CUB - online payment,Other,,Recharge by gowdham,479,Expense,,479,INR,479
1/12/2022 13:25,CUB - online payment,Food,,Pizza,301.75,Expense,,301.75,INR,301.75
1/12/2022 13:25,CUB - online payment,Other,,From kumara,200,Income,,200,INR,200
1/11/2022 14:07,CUB - online payment,Food,,Lunch with not preethi,135.5,Expense,,135.5,INR,135.5
1/10/2022 14:04,CUB - online payment,Food,,Friday snacks with preethi gang,106,Expense,,106,INR,106
1/8/2022 13:46,CUB - online payment,Other,,From gowdham,260,Income,,260,INR,260
1/8/2022 13:45,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,,535.3,INR,535.3
1/8/2022 13:38,CUB - online payment,Household,,Rent,4580,Expense,,4580,INR,4580
1/7/2022 13:51,CUB - online payment,Food,,Coffee + biscuit,15,Expense,,15,INR,15
1/6/2022 21:30,CUB - online payment,Other,,From barath and shakur,440,Income,,440,INR,440
1/6/2022 20:58,CUB - online payment,Food,,Ketch up,20,Expense,,20,INR,20
1/6/2022 20:13,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,,877.81,INR,877.81
1/6/2022 14:22,CUB - online payment,Food,,Bingo,10,Expense,,10,INR,10
1/6/2022 11:48,CUB - online payment,Transportation,,Rapido to pg,42,Expense,,42,INR,42
1/5/2022 20:23,CUB - online payment,Food,,McDonald's with company,211,Expense,,211,INR,211
1/5/2022 14:46,CUB - online payment,Other,,Lended money returned to vishnu,40,Expense,,40,INR,40
1/5/2022 14:42,CUB - online payment,Other,,Lended money returned to kumara,30,Expense,,30,INR,30
1/5/2022 14:42,CUB - online payment,Food,,Jan 2nd with shakur and barath,354,Expense,,354,INR,354
1/5/2022 14:39,CUB - online payment,Other,,To gobi 1st 1/4th,500,Expense,,500,INR,500
1/5/2022 14:37,CUB - online payment,Other,,To abijith and to vicky lend money returned,500,Expense,,500,INR,500
1/5/2022 14:35,CUB - online payment,Transportation,,Refund for bus ticket,60,Expense,,60,INR,60
1/5/2022 14:30,CUB - online payment,Food,,Lunch with company,388,Expense,,388,INR,388
1/4/2022 22:11,CUB - online payment,Education,,Arrear and reval fee,1400,Expense,,1400,INR,1400
1/4/2022 22:10,CUB - online payment,Salary,,Salary,8000,Income,,8000,INR,8000
1/4/2022 13:53,CUB - online payment,Food,,Lunch with company,106,Expense,,106,INR,106
1/4/2022 8:01,CUB - online payment,Other,,To vicky,80,Expense,,80,INR,80
1/4/2022 7:58,CUB - online payment,Food,,Sent to preethi,107,Expense,,107,INR,107
1/3/2022 22:15,CUB - online payment,Food,,Dairy milk,10,Expense,,10,INR,10
1/3/2022 21:54,CUB - online payment,Other,,From barath,201,Income,,201,INR,201
1/3/2022 21:12,CUB - online payment,Other,,From gpay,5,Income,,5,INR,5
1/3/2022 21:11,CUB - online payment,Other,,From shakur,140,Income,,140,INR,140
1/3/2022 14:31,CUB - online payment,Food,,Lunch unlimited nv,300,Expense,,300,INR,300
1/3/2022 14:30,CUB - online payment,Other,,From abi,300,Income,,300,INR,300
1/2/2022 20:33,CUB - online payment,Other,,Tablet to gowdham,8,Expense,,8,INR,8
1/2/2022 20:32,CUB - online payment,Food,,Dinner with barath,200,Expense,,200,INR,200
1/2/2022 14:16,CUB - online payment,Transportation,,Train to vnr,725,Expense,,725,INR,725
1/1/2022 21:46,CUB - online payment,Food,,Snacks,85,Expense,,85,INR,85
1/1/2022 21:45,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/30/2021 14:10,CUB - online payment,Food,,To barath,20,Expense,,20,INR,20
12/30/2021 13:56,CUB - online payment,Transportation,,Pg to office,43,Expense,,43,INR,43
12/30/2021 13:36,CUB - online payment,Other,,From kumara,30,Income,,30,INR,30
12/30/2021 12:43,CUB - online payment,Food,,Horlicks + kolakattai,25,Expense,,25,INR,25
12/30/2021 12:38,CUB - online payment,Transportation,,Bommasandra to pg,199,Expense,,199,INR,199
12/30/2021 12:37,CUB - online payment,Other,,From Deepak,250,Income,,250,INR,250
12/30/2021 11:45,CUB - online payment,Food,,Water,20,Expense,,20,INR,20
12/30/2021 11:45,CUB - online payment,Other,,From abi,20,Income,,20,INR,20
12/30/2021 11:45,CUB - online payment,Transportation,,Rapido + toll,286,Expense,,286,INR,286
12/30/2021 11:44,CUB - online payment,Other,,From Deepak,250,Income,,250,INR,250
12/28/2021 13:42,CUB - online payment,Food,,Coffee and thattai,14,Expense,,14,INR,14
12/27/2021 13:45,CUB - online payment,Food,,Lunch with barath,115,Expense,,115,INR,115
12/27/2021 13:44,CUB - online payment,Other,,From vicky,80,Income,,80,INR,80
12/27/2021 12:33,CUB - online payment,Other,,From ganesan,40,Income,,40,INR,40
12/27/2021 12:33,CUB - online payment,Food,,Coconut water with stu,50,Expense,,50,INR,50
12/25/2021 22:53,CUB - online payment,Food,,Dinner with barath,504,Expense,,504,INR,504
12/25/2021 20:46,CUB - online payment,Transportation,,Cab,306,Expense,,306,INR,306
12/25/2021 19:50,CUB - online payment,Self-development,,Books,400,Expense,,400,INR,400
12/25/2021 17:01,CUB - online payment,Food,,Corn,30,Expense,,30,INR,30
12/25/2021 15:35,CUB - online payment,Food,,Water,30,Expense,,30,INR,30
12/25/2021 13:32,CUB - online payment,Food,,Milk with bharath,40,Expense,,40,INR,40
12/24/2021 21:49,CUB - online payment,Social Life,,Beer,150,Expense,,150,INR,150
12/24/2021 14:35,CUB - online payment,Food,,Lunch with company,262,Expense,,262,INR,262
12/23/2021 16:31,CUB - online payment,Food,,Lemon tea with company,15,Expense,,15,INR,15
12/23/2021 13:51,CUB - online payment,Food,,Puffs and coffee,32,Expense,,32,INR,32
12/21/2021 20:53,CUB - online payment,Food,,Dinner with barath,239,Expense,,239,INR,239
12/21/2021 14:02,CUB - online payment,Food,,Puffs,25,Expense,,25,INR,25
12/21/2021 11:43,CUB - online payment,Food,,Bun,18,Expense,,18,INR,18
12/20/2021 19:23,CUB - online payment,Food,,Milk with bharath,80,Expense,,80,INR,80
12/20/2021 19:22,CUB - online payment,Transportation,,Taxi,80,Expense,,80,INR,80
12/20/2021 16:55,CUB - online payment,Food,,Snacks,20,Expense,,20,INR,20
12/20/2021 15:29,CUB - online payment,Food,,Water,20,Expense,,20,INR,20
12/20/2021 13:35,CUB - online payment,Food,,Lunch with barath,85,Expense,,85,INR,85
12/20/2021 9:46,CUB - online payment,Food,,Milk with bharath,40,Expense,,40,INR,40
12/19/2021 15:51,CUB - online payment,Other,,To siva,100,Expense,,100,INR,100
12/18/2021 21:01,CUB - online payment,Other,,To kumara,100,Expense,,100,INR,100
12/18/2021 21:01,CUB - online payment,Other,,To abijith,200,Expense,,200,INR,200
12/18/2021 21:00,CUB - online payment,Food,,To rahul,113,Expense,,113,INR,113
12/18/2021 21:00,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/18/2021 19:52,CUB - online payment,Other,,Lended money,400,Income,,400,INR,400
12/18/2021 19:51,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,,363.72,INR,363.72
12/18/2021 14:19,CUB - online payment,Food,,Lunch,160,Expense,,160,INR,160
12/17/2021 18:54,CUB - online payment,Food,,Milk with bharath,70,Expense,,70,INR,70
12/17/2021 14:45,CUB - online payment,Food,,Lunch with company,110,Expense,,110,INR,110
12/17/2021 8:35,CUB - online payment,Other,,Gave to gowdham,50,Expense,,50,INR,50
12/16/2021 18:44,CUB - online payment,Food,,Egg,30,Expense,,30,INR,30
12/16/2021 18:35,CUB - online payment,Food,,Panipoori,20,Expense,,20,INR,20
12/16/2021 13:38,CUB - online payment,Food,,Lunch,30,Expense,,30,INR,30
12/16/2021 10:42,CUB - online payment,Food,,Milk with bharath,110,Expense,,110,INR,110
12/14/2021 23:54,CUB - online payment,Food,,Lunch,40,Expense,,40,INR,40
12/14/2021 21:21,CUB - online payment,Food,,Snacks,75,Expense,,75,INR,75
12/14/2021 21:03,CUB - online payment,Food,,Panipoori,80,Expense,,80,INR,80
12/14/2021 15:18,CUB - online payment,Food,,Snacks,74,Expense,,74,INR,74
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65,Expense,,65,INR,65
12/12/2021 21:47,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/11/2021 9:22,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/11/2021 8:20,CUB - online payment,Other,,From stu,240,Income,,240,INR,240
12/10/2021 21:38,CUB - online payment,Food,,Shopping,241,Expense,,241,INR,241
12/10/2021 20:55,CUB - online payment,Food,,Momos,195,Expense,,195,INR,195
12/9/2021 20:03,CUB - online payment,Food,,Snack with bharath,40,Expense,,40,INR,40
12/9/2021 14:01,CUB - online payment,Food,,Lunch with company,280,Expense,,280,INR,280
12/9/2021 9:56,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/9/2021 8:47,CUB - online payment,Food,,Breakfast with stu,110,Expense,,110,INR,110
12/8/2021 14:15,CUB - online payment,Food,,Lunch with stu,100,Expense,,100,INR,100
12/8/2021 14:15,Cash,Food,,5 star,1120.72,Expense,,15,USD,15
12/8/2021 7:17,CUB - online payment,Food,,Milk,10,Expense,,10,INR,10
12/7/2021 9:54,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/7/2021 7:59,CUB - online payment,Food,,Horlicks,15,Expense,,15,INR,15
12/6/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/6/2021 20:07,CUB - online payment,Apparel,,Shoe,500,Expense,,500,INR,500
12/6/2021 19:57,CUB - online payment,Apparel,,Cap,140,Expense,,140,INR,140
12/6/2021 14:08,CUB - online payment,Food,,Lunch with stu,150,Expense,,150,INR,150
12/5/2021 19:45,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/5/2021 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,1800,Expense,,1800,INR,1800
12/5/2021 12:23,CUB - online payment,Household,,Rent,4800,Expense,,4800,INR,4800
12/5/2021 12:23,CUB - online payment,Allowance,,From dad,8000,Income,,8000,INR,8000
12/4/2021 21:05,CUB - online payment,Food,,Dinner,324,Expense,,324,INR,324
12/4/2021 20:20,CUB - online payment,Food,,Snack,65,Expense,,65,INR,65
12/4/2021 13:54,CUB - online payment,Other,,For company,30,Expense,,30,INR,30
12/4/2021 10:13,CUB - online payment,Food,,Breakfast,200,Expense,,200,INR,200
12/3/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/3/2021 21:59,CUB - online payment,Apparel,,Belt,130,Expense,,130,INR,130
12/3/2021 21:28,CUB - online payment,Apparel,,Mask,20,Expense,,20,INR,20
12/3/2021 21:28,CUB - online payment,Food,,Snack,40,Expense,,40,INR,40
12/3/2021 21:28,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/2/2021 20:07,CUB - online payment,Food,,Ice cream,504,Expense,,504,INR,504
12/2/2021 19:48,CUB - online payment,Food,,Vadapaav,75,Expense,,75,INR,75
12/1/2021 19:57,CUB - online payment,Beauty,,Showergel,196,Expense,,196,INR,196
12/1/2021 14:00,CUB - online payment,Food,,Lunch with company,160,Expense,,160,INR,160
11/30/2021 14:24,CUB - online payment,Gift,,Bharath birthday,115,Expense,,115,INR,115
11/30/2021 14:17,CUB - online payment,Food,,Lunch with company,128,Expense,,128,INR,128
11/30/2021 10:11,CUB - online payment,Food,,Breakfast,70,Expense,,70,INR,70
11/29/2021 20:47,CUB - online payment,Food,,Lunch with company,40,Expense,,40,INR,40
11/29/2021 20:47,CUB - online payment,Food,,Dinner,50,Expense,,50,INR,50
11/29/2021 20:09,CUB - online payment,Food,,Panipoori,40,Expense,,40,INR,40
11/29/2021 9:29,CUB - online payment,Food,,Breakfast,40,Expense,,40,INR,40
11/28/2021 19:59,CUB - online payment,Food,,Snack,94,Expense,,94,INR,94
11/28/2021 13:10,CUB - online payment,Food,,Zomato,269.4,Expense,,269.4,INR,269.4
11/27/2021 23:14,CUB - online payment,Food,,Dinner with gowdham,120,Expense,,120,INR,120
11/27/2021 22:34,CUB - online payment,Food,,Dinner with gowdham,130,Expense,,130,INR,130
11/27/2021 18:41,CUB - online payment,Transportation,,Rapido,35,Expense,,35,INR,35
11/27/2021 13:46,CUB - online payment,Food,,Lunch with company,75,Expense,,75,INR,75
11/27/2021 13:46,CUB - online payment,Allowance,,From dad,2000,Income,,2000,INR,2000
11/27/2021 9:33,CUB - online payment,Food,,Breakfast,30,Expense,,30,INR,30
11/26/2021 21:56,CUB - online payment,Food,,Beer,150,Expense,,150,INR,150
11/26/2021 20:57,CUB - online payment,Food,,Snack,102,Expense,,102,INR,102
11/26/2021 20:15,CUB - online payment,Food,,Panipoori,40,Expense,,40,INR,40
11/26/2021 14:14,CUB - online payment,Petty cash,,Cashback,3,Income,,3,INR,3
11/26/2021 14:14,CUB - online payment,Food,,Lunch with company,150,Expense,,150,INR,150
11/26/2021 9:22,CUB - online payment,Food,,Breakfast,60,Expense,,60,INR,60
11/25/2021 20:27,CUB - online payment,Food,,Lunch with company,145,Expense,,145,INR,145
11/25/2021 20:27,CUB - online payment,Transportation,,Rapido,58,Expense,,58,INR,58
11/25/2021 20:27,CUB - online payment,Food,,Dinner,95,Expense,,95,INR,95
11/24/2021 19:26,CUB - online payment,Food,,Snack,15,Expense,,15,INR,15
11/24/2021 19:23,CUB - online payment,Food,,Dinner,70,Expense,,70,INR,70
11/24/2021 19:06,CUB - online payment,Food,,Panipoori,20,Expense,,20,INR,20
11/24/2021 19:06,CUB - online payment,Transportation,,Rapido,58,Expense,,58,INR,58
11/23/2021 22:53,CUB - online payment,Transportation,,Rapido,50,Expense,,50,INR,50
11/23/2021 22:53,CUB - online payment,Food,,Dinner,179,Expense,,179,INR,179
11/22/2021 14:16,CUB - online payment,Food,,Dinner,90,Expense,,90,INR,90
11/22/2021 14:16,CUB - online payment,Food,,Lunch with company,97,Expense,,97,INR,97
11/21/2021 17:07,CUB - online payment,Transportation,,Rapido,130,Expense,,130,INR,130
11/21/2021 15:50,CUB - online payment,Food,,Lunch,875,Expense,,875,INR,875
11/21/2021 13:30,CUB - online payment,Other,,Got from gobi,2000,Income,,2000,INR,2000
