batter,runs,avg,strike_rate
VR Iyer,552,27.6,116.45569620253164
LS Livingstone,549,27.45,155.9659090909091
YBK Jaiswal,547,23.782608695652176,133.41463414634148
CJ Anderson,538,24.454545454545453,123.39449541284404
SN Khan,532,24.181818181818183,135.0253807106599
RS Bopara,531,29.5,113.46153846153845
AK Markram,527,40.53846153846154,131.75
JP Faulkner,527,20.26923076923077,129.80295566502463
R Parag,522,16.838709677419356,120.27649769585254
M Manhas,514,22.347826086956523,105.76131687242798
Gurkeerat Singh,511,21.291666666666668,117.20183486238531
OA Shah,506,33.733333333333334,124.93827160493827
PC Valthaty,505,22.954545454545453,116.89814814814814
SW Billings,503,19.346153846153847,126.06516290726817
MR Marsh,476,22.666666666666668,120.81218274111676
DT Christian,460,14.838709677419354,112.74509803921569
NLTC Perera,424,19.272727272727273,130.06134969325154
SA Asnodkar,423,21.15,120.17045454545455
JR Hopes,417,26.0625,132.80254777070064
J Botha,409,20.45,112.36263736263736
LR Shukla,405,15.0,113.12849162011173
RM Patidar,404,40.4,136.02693602693603
AL Menaria,401,19.095238095238095,109.26430517711172
Tilak Varma,397,36.09090909090909,126.83706070287539
MV Boucher,394,28.142857142857142,123.89937106918238
CA Pujara,390,20.526315789473685,96.7741935483871
Azhar Mahmood,388,20.42105263157895,124.7588424437299
PJ Cummins,379,18.95,145.76923076923077
DB Ravi Teja,375,19.736842105263158,115.38461538461537
S Sohal,368,18.4,118.32797427652733
P Negi,365,14.038461538461538,121.26245847176081
A Mishra,362,11.67741935483871,88.29268292682927
R Bhatia,342,11.4,117.9310344827586
P Kumar,340,8.947368421052632,105.26315789473684
AP Tare,339,14.125,118.94736842105263
SM Curran,337,22.466666666666665,146.52173913043478
JJ Roy,329,29.90909090909091,124.62121212121211
JEC Franklin,327,29.727272727272727,105.8252427184466
RN ten Doeschate,326,23.285714285714285,136.9747899159664
Washington Sundar,318,13.826086956521738,114.38848920863309
KV Sharma,317,15.095238095238095,111.22807017543859
Rashid Khan,313,11.178571428571429,146.26168224299064
R Vinay Kumar,310,11.071428571428571,107.26643598615917
DB Das,304,21.714285714285715,113.85767790262172
C de Grandhomme,303,18.9375,132.31441048034935
LA Pomersbach,302,27.454545454545453,120.3187250996016
UBT Chand,300,15.0,95.54140127388536
DJG Sammy,295,19.666666666666668,117.52988047808766
SP Goswami,293,14.65,95.43973941368078
Y Nagar,285,20.357142857142858,105.1660516605166
GH Vihari,284,14.2,85.80060422960725
VVS Laxman,282,14.842105263157896,104.0590405904059
A Ashish Reddy,280,18.666666666666668,142.85714285714286
B Chipli,280,18.666666666666668,109.375
Shahbaz Ahmed,279,18.6,110.27667984189723
MJ Lumb,278,23.166666666666668,140.4040404040404
MJ Guptill,271,22.583333333333332,137.56345177664974
R Sathish,270,15.882352941176471,114.40677966101696
M Shahrukh Khan,270,19.285714285714285,114.40677966101696
MK Lomror,267,20.53846153846154,124.76635514018693
M Kaif,259,14.38888888888889,100.3875968992248
DP Conway,252,42.0,143.1818181818182
PK Garg,251,15.6875,112.05357142857142
RK Singh,251,20.916666666666668,123.03921568627452
R Powell,250,25.0,143.67816091954023
JO Holder,247,13.0,120.48780487804878
B Kumar,241,8.310344827586206,93.05019305019306
SM Katich,241,24.1,126.17801047120419
BCJ Cutting,238,21.636363636363637,163.013698630137
MD Mishra,237,14.8125,111.26760563380283
JM Sharma,234,29.25,157.04697986577182
HV Patel,230,10.454545454545455,121.6931216931217
Lalit Yadav,229,25.444444444444443,100.88105726872247
Abdul Samad,228,13.411764705882353,139.02439024390242
K Goel,218,14.533333333333333,91.21338912133892
AA Jhunjhunwala,217,16.692307692307693,99.54128440366972
PBB Rajapaksa,206,22.88888888888889,150.36496350364962
TM Head,205,29.285714285714285,135.76158940397352
CA Ingram,205,17.083333333333332,112.02185792349727
PD Collingwood,203,40.6,127.67295597484276
KS Bharat,199,28.428571428571427,118.45238095238095
SK Warne,198,9.9,90.41095890410958
SP Fleming,196,21.77777777777778,114.61988304093566
JC Archer,195,15.0,152.34375
AS Raut,194,21.555555555555557,112.79069767441861
BJ Rohrer,193,27.571428571428573,132.1917808219178
Salman Butt,193,27.571428571428573,112.20930232558139
YV Takawale,192,24.0,104.91803278688525
R Dhawan,190,21.11111111111111,107.95454545454545
Bipul Sharma,187,23.375,150.80645161290323
TH David,187,31.166666666666668,198.93617021276594
Mohammad Nabi,186,14.307692307692308,147.61904761904762
K Rabada,186,12.4,98.93617021276596
K Gowtham,186,13.285714285714286,161.7391304347826
FY Fazal,183,18.3,102.23463687150837
CR Brathwaite,181,13.923076923076923,150.83333333333334
AC Voges,181,45.25,126.57342657342659
S Gopal,180,12.857142857142858,104.04624277456647
MS Wade,179,13.76923076923077,100.56179775280899
AB Agarkar,179,17.9,111.87499999999999
UT Yadav,177,9.833333333333334,100.56818181818181
C Munro,177,14.75,122.91666666666667
MF Maharoof,177,17.7,142.74193548387098
SN Thakur,173,10.8125,125.36231884057972
DH Yagnik,170,17.0,119.71830985915493
CM Gautam,169,16.9,106.9620253164557
DW Steyn,167,7.590909090909091,102.45398773006136
MG Johnson,167,12.846153846153847,99.40476190476191
MN van Wyk,167,55.666666666666664,123.7037037037037
PA Reddy,164,16.4,98.20359281437125
JD Unadkat,164,13.666666666666666,120.58823529411764
D Brevis,161,23.0,138.79310344827587
A Badoni,161,20.125,115.8273381294964
MN Samuels,161,12.384615384615385,92.52873563218391
RE van der Merwe,159,14.454545454545455,110.41666666666667
R McLaren,159,19.875,89.32584269662921
AD Hales,148,24.666666666666668,124.36974789915966
SM Pollock,147,18.375,126.72413793103448
S Vidyut,145,18.125,126.08695652173914
B Sai Sudharsan,145,36.25,122.88135593220339
Sachin Baby,144,16.0,117.07317073170731
N Saini,140,14.0,97.9020979020979
S Anirudha,136,17.0,112.39669421487604
SB Styris,131,18.714285714285715,97.76119402985076
W Jaffer,130,16.25,100.7751937984496
Anuj Rawat,129,14.333333333333334,104.03225806451613
Kamran Akmal,128,25.6,164.1025641025641
D Wiese,127,31.75,135.1063829787234
UT Khawaja,127,21.166666666666668,120.95238095238095
TK Curran,127,25.4,117.59259259259258
P Dogra,127,11.545454545454545,90.0709219858156
M Morkel,126,11.454545454545455,135.48387096774192
BB Samantray,125,25.0,107.75862068965519
MC Juneja,125,17.857142857142858,93.28358208955224
B Lee,124,12.4,121.56862745098039
AB McDonald,123,24.6,119.41747572815532
MM Sharma,122,8.133333333333333,101.66666666666666
DL Vettori,121,15.125,102.54237288135593
NK Patel,121,30.25,97.58064516129032
AC Blizzard,120,17.142857142857142,131.86813186813185
TG Southee,120,9.23076923076923,111.11111111111111
RJ Harris,117,9.75,104.46428571428572
Misbah-ul-Haq,117,16.714285714285715,142.6829268292683
Z Khan,117,8.357142857142858,82.97872340425532
KK Cooper,116,12.88888888888889,165.71428571428572
DJM Short,115,16.428571428571427,112.74509803921569
M Kartik,113,16.142857142857142,103.6697247706422
DJ Harris,111,27.75,107.76699029126213
RD Chahar,108,8.307692307692308,105.88235294117648
A Manohar,108,18.0,136.70886075949366
SE Rutherford,106,15.142857142857142,99.06542056074767
Harpreet Brar,106,35.333333333333336,106.0
JDP Oram,106,13.25,96.36363636363636
LJ Wright,106,21.2,168.25396825396825
Kuldeep Yadav,105,15.0,80.76923076923077
DS Kulkarni,104,11.555555555555555,92.03539823008849
RJ Quiney,103,14.714285714285714,98.09523809523809
SD Chitnis,99,14.142857142857142,107.6086956521739
MS Gony,99,9.9,130.26315789473685
MJ Clarke,98,16.333333333333332,102.08333333333333
CJ Ferguson,98,16.333333333333332,82.35294117647058
MA Starc,96,13.714285714285714,97.95918367346938
Mohammed Siraj,96,13.714285714285714,86.48648648648648
PR Shah,92,11.5,94.84536082474226
JDS Neesham,92,10.222222222222221,98.9247311827957
DJ Jacobs,92,13.142857142857142,91.0891089108911
RT Ponting,91,10.11111111111111,70.54263565891473
AJ Tye,91,10.11111111111111,115.18987341772151
S Rana,91,22.75,110.97560975609757
AD Nath,90,9.0,90.9090909090909
SL Malinga,88,5.5,85.43689320388349
Iqbal Abdulla,88,44.0,102.32558139534885
AP Majumdar,87,21.75,112.98701298701299
Ankit Sharma,87,12.428571428571429,126.08695652173914
MJ McClenaghan,85,6.538461538461538,116.43835616438356
RE Levi,83,13.833333333333334,112.16216216216218
NM Coulter-Nile,82,7.454545454545454,109.33333333333333
Shahid Afridi,81,10.125,176.08695652173913
LA Carseldine,81,20.25,114.08450704225352
WPUJC Vaas,81,10.125,110.95890410958904
DL Chahar,79,11.285714285714286,133.89830508474577
AD Mascarenhas,79,8.777777777777779,100.0
JR Philippe,78,19.5,97.5
CR Woakes,78,13.0,101.29870129870129
B Akhil,76,12.666666666666666,133.33333333333331
IR Jaggi,76,15.2,76.0
CJ Jordan,75,9.375,110.29411764705883
TR Birt,75,15.0,127.11864406779661
N Jagadeesan,73,24.333333333333332,102.8169014084507
M Klinger,73,18.25,93.58974358974359
RR Sarwan,73,18.25,93.58974358974359
J Suchith,70,17.5,112.90322580645163
Mohammed Shami,69,6.2727272727272725,93.24324324324324
AA Bilakhia,69,13.8,78.4090909090909
Shashank Singh,69,17.25,146.80851063829786
SS Prabhudessai,67,13.4,108.06451612903226
LH Ferguson,67,33.5,142.5531914893617
RR Powar,67,22.333333333333332,104.6875
H Klaasen,66,13.2,113.79310344827587
R Sharma,66,4.714285714285714,85.71428571428571
KA Jamieson,65,16.25,118.18181818181819
P Simran Singh,64,10.666666666666666,95.52238805970148
Mohammad Hafeez,64,9.142857142857142,76.19047619047619
Anirudh Singh,63,15.75,91.30434782608695
WD Parnell,63,7.0,78.75
A Flintoff,62,31.0,108.77192982456141
SP Jackson,61,10.166666666666666,107.01754385964912
S Aravind,59,14.75,100.0
R Shepherd,58,29.0,134.88372093023256
WA Mota,56,9.333333333333334,73.68421052631578
JJ Bumrah,56,8.0,82.35294117647058
M Rawat,55,11.0,78.57142857142857
I Sharma,55,9.166666666666666,88.70967741935483
MJ Santner,54,18.0,98.18181818181819
TA Boult,53,10.6,108.16326530612245
A Chopra,53,8.833333333333334,70.66666666666667
RR Rossouw,53,10.6,103.921568627451
Sandeep Sharma,52,8.666666666666666,78.78787878787878
Shoaib Malik,52,13.0,106.12244897959184
RP Singh,52,3.466666666666667,66.66666666666666
KB Arun Karthik,51,10.2,96.22641509433963
OF Smith,51,17.0,102.0
Shivam Mavi,51,5.666666666666667,87.93103448275862
R Rampaul,51,10.2,98.07692307692307
VR Aaron,50,10.0,68.4931506849315
RV Gomez,50,10.0,94.33962264150944
AS Yadav,49,9.8,122.50000000000001
AG Paunikar,49,9.8,80.32786885245902
SB Bangar,49,7.0,84.48275862068965
Yashpal Singh,47,11.75,70.1492537313433
Ramandeep Singh,45,22.5,107.14285714285714
DR Sams,44,4.888888888888889,91.66666666666666
D Pretorius,44,11.0,157.14285714285714
PVD Chameera,43,10.75,134.375
HR Shokeen,43,21.5,89.58333333333334
Sunny Singh,43,10.75,138.70967741935485
AB Barath,42,21.0,97.67441860465115
SK Trivedi,42,6.0,68.85245901639344
A Nehra,41,5.857142857142857,65.07936507936508
LPC Silva,40,20.0,148.14814814814815
BR Dunk,40,13.333333333333334,111.11111111111111
J Yadav,40,10.0,105.26315789473684
PWH de Silva,39,4.875,78.0
S Nadeem,39,2.7857142857142856,44.31818181818182
DJ Thornely,39,13.0,72.22222222222221
MM Patel,39,6.5,95.1219512195122
AUK Pathan,39,7.8,150.0
Umar Gul,39,13.0,205.26315789473685
YS Chahal,37,5.285714285714286,41.57303370786517
S Narwal,37,12.333333333333334,127.58620689655173
L Balaji,36,4.5,72.0
AN Ahmed,36,36.0,133.33333333333331
Joginder Sharma,36,9.0,120.0
KW Richardson,36,12.0,92.3076923076923
Sohail Tanvir,36,12.0,116.12903225806453
Anureet Singh,36,9.0,76.59574468085107
A Kumble,35,11.666666666666666,71.42857142857143
B Sumanth,35,35.0,92.10526315789474
M Ashwin,35,3.888888888888889,70.0
S Sreesanth,34,8.5,59.64912280701754
A Mithun,34,6.8,130.76923076923077
L Ronchi,34,6.8,91.8918918918919
AP Dole,34,17.0,147.82608695652172
Navdeep Saini,33,8.25,86.8421052631579
D Salunkhe,33,16.5,137.5
DJ Mitchell,33,16.5,71.73913043478261
Imran Tahir,33,8.25,89.1891891891892
AT Carey,32,16.0,110.34482758620689
RJ Peterson,32,10.666666666666666,100.0
Basil Thampi,32,32.0,86.48648648648648
T Taibu,31,10.333333333333334,119.23076923076923
NS Naik,31,7.75,58.490566037735846
Avesh Khan,31,15.5,163.1578947368421
RV Patel,31,15.5,96.875
S Sriram,31,15.5,81.57894736842105
VH Zol,29,14.5,111.53846153846155
Anmolpreet Singh,29,9.666666666666666,107.40740740740742
J Syed Mohammad,29,14.5,107.40740740740742
SB Jakati,28,28.0,93.33333333333333
M Markande,27,9.0,90.0
PJ Sangwan,26,3.25,55.319148936170215
DJ Malan,26,26.0,100.0
JM Kemp,26,13.0,104.0
NL McCullum,26,26.0,113.04347826086956
AS Rajpoot,26,5.2,63.41463414634146
GD Phillips,26,13.0,78.78787878787878
AB Dinda,26,2.6,52.0
TL Seifert,26,8.666666666666666,100.0
S Chanderpaul,25,8.333333333333334,75.75757575757575
A Choudhary,25,25.0,125.0
KC Cariappa,24,8.0,114.28571428571428
MA Khote,24,12.0,109.09090909090908
ER Dwivedi,24,12.0,160.0
CV Varun,24,8.0,63.1578947368421
Arshdeep Singh,23,5.75,63.888888888888886
AF Milne,23,5.75,74.19354838709677
BMAJ Mendis,23,7.666666666666667,85.18518518518519
J Arunkumar,23,7.666666666666667,95.83333333333334
SW Tait,23,7.666666666666667,88.46153846153845
Mohsin Khan,23,23.0,121.05263157894737
KL Nagarkoti,22,5.5,64.70588235294117
SA Abbott,22,7.333333333333333,122.22222222222223
HE van der Dussen,22,11.0,88.0
GB Hogg,22,7.333333333333333,100.0
B Indrajith,21,7.0,67.74193548387096
TU Deshpande,21,21.0,175.0
DE Bollinger,21,21.0,91.30434782608695
AS Joseph,20,20.0,100.0
AC Thomas,20,10.0,105.26315789473684
S Kaul,20,5.0,55.55555555555556
RR Raje,20,20.0,111.11111111111111
M Muralitharan,20,3.3333333333333335,66.66666666666666
Harpreet Singh,20,10.0,76.92307692307693
NJ Maddinson,20,6.666666666666667,95.23809523809523
P Sahu,19,19.0,146.15384615384613
Vishnu Vinod,19,6.333333333333333,73.07692307692307
DR Martyn,19,19.0,73.07692307692307
R Bishnoi,19,6.333333333333333,111.76470588235294
Y Gnaneswara Rao,19,19.0,105.55555555555556
P Ray Barman,19,19.0,76.0
R Shukla,19,19.0,82.6086956521739
A Mukund,19,9.5,82.6086956521739
KMA Paul,18,3.6,69.23076923076923
DS Lehmann,18,9.0,94.73684210526315
JJ van der Wath,18,9.0,105.88235294117648
NT Ellis,18,9.0,94.73684210526315
T Banton,18,9.0,81.81818181818183
JR Hazlewood,18,,66.66666666666666
Harmeet Singh,18,4.5,150.0
BJ Haddin,18,18.0,163.63636363636365
DJ Willey,18,9.0,56.25
PV Tambe,18,9.0,46.15384615384615
Parvez Rasool,17,8.5,85.0
PP Ojha,16,1.3333333333333333,35.55555555555556
CK Kapugedera,16,5.333333333333333,66.66666666666666
C Sakariya,16,3.2,64.0
Virat Singh,15,7.5,57.692307692307686
JA Richardson,15,7.5,60.0
JL Pattinson,15,15.0,115.38461538461537
VY Mahesh,15,7.5,53.57142857142857
SD Lad,15,15.0,115.38461538461537
GR Napier,15,15.0,93.75
C Madan,15,15.0,71.42857142857143
I Udana,15,5.0,136.36363636363635
FA Allen,14,7.0,73.68421052631578
F Behardien,14,7.0,107.6923076923077
MDKJ Perera,14,7.0,107.6923076923077
KJ Abbott,13,13.0,162.5
Kartik Tyagi,13,3.25,81.25
DT Patil,13,6.5,100.0
DR Shorey,13,6.5,65.0
S Badree,13,2.6,52.0
Swapnil Singh,12,4.0,60.0
DAJ Bracewell,12,,133.33333333333331
Mustafizur Rahman,12,12.0,54.54545454545454
Mujeeb Ur Rahman,12,4.0,80.0
T Thushara,12,6.0,63.1578947368421
AR Bawne,12,,100.0
K Upadhyay,12,,133.33333333333331
Rasikh Salam,12,12.0,120.0
Karanveer Singh,12,12.0,70.58823529411765
AA Chavan,12,6.0,109.09090909090908
T Kohli,11,3.6666666666666665,55.00000000000001
RA Bawa,11,5.5,78.57142857142857
T Henderson,11,5.5,68.75
DNT Zoysa,11,11.0,122.22222222222223
M Ntini,11,11.0,57.89473684210527
X Thalaivan Sargunam,10,10.0,58.82352941176471
KAJ Roach,10,10.0,111.11111111111111
TD Paine,10,5.0,34.48275862068966
AG Murtaza,10,10.0,71.42857142857143
SMSM Senanayake,10,10.0,58.82352941176471
BB Sran,10,10.0,71.42857142857143
D du Preez,10,10.0,76.92307692307693
J Theron,10,5.0,76.92307692307693
M Jansen,9,3.0,81.81818181818183
SM Harwood,9,,64.28571428571429
M Prasidh Krishna,9,3.0,37.5
AA Noffke,9,9.0,75.0
TM Srivastava,8,8.0,72.72727272727273
A Nortje,8,8.0,61.53846153846154
TS Mills,8,2.0,57.14285714285714
OC McCoy,8,8.0,160.0
Jaskaran Singh,8,8.0,72.72727272727273
P Chopra,8,8.0,133.33333333333331
JPR Scantlebury-Searles,8,8.0,133.33333333333331
CJ McKay,8,8.0,53.333333333333336
CK Langeveldt,8,4.0,88.88888888888889
Ravi Bishnoi,8,4.0,44.44444444444444
UA Birla,7,7.0,46.666666666666664
Ankit Soni,7,3.5,77.77777777777779
RK Bhui,7,3.5,38.88888888888889
P Dubey,7,,53.84615384615385
VS Malik,7,7.0,100.0
M Theekshana,7,7.0,100.0
IS Sodhi,7,3.5,38.88888888888889
Pankaj Singh,7,3.5,58.333333333333336
I Malhotra,7,,175.0
AN Ghosh,7,3.5,87.5
Simarjeet Singh,7,7.0,87.5
SS Shaikh,6,6.0,85.71428571428571
DM Bravo,6,,120.0
Mukesh Choudhary,6,6.0,100.0
PSP Handscomb,6,6.0,50.0
BA Bhatt,6,6.0,85.71428571428571
SB Joshi,6,3.0,37.5
A Zampa,5,2.5,62.5
P Awana,5,2.5,35.714285714285715
SJ Srivastava,5,5.0,100.0
Aman Hakim Khan,5,5.0,166.66666666666669
Shivam Sharma,5,5.0,166.66666666666669
VG Arora,5,2.5,35.714285714285715
B Laughlin,5,2.5,38.46153846153847
B Stanlake,5,,250.0
KMDN Kulasekara,5,,166.66666666666669
KS Sharma,4,4.0,100.0
A Chandila,4,,57.14285714285714
DP Nannes,4,4.0,30.76923076923077
FH Edwards,4,4.0,80.0
VRV Singh,4,2.0,133.33333333333331
PN Mankad,4,,400.0
CRD Fernando,4,,133.33333333333331
Umran Malik,4,4.0,50.0
A Uniyal,4,4.0,57.14285714285714
A Dananjaya,4,,80.0
RS Sodhi,4,,200.0
GD McGrath,4,4.0,80.0
A Tomar,4,4.0,50.0
BAW Mendis,3,1.5,50.0
S Tyagi,3,3.0,75.0
JE Taylor,3,3.0,75.0
D Kalyankrishna,3,3.0,37.5
T Natarajan,3,,60.0
Kamran Khan,3,3.0,60.0
K Kartikeya,3,3.0,50.0
GC Viljoen,3,1.5,42.857142857142854
AJ Turner,3,1.0,27.27272727272727
Mohammad Asif,3,1.5,50.0
R Ninan,3,3.0,50.0
Younis Khan,3,3.0,42.857142857142854
A Singh,2,0.5,20.0
RS Gavaskar,2,2.0,25.0
KP Appanna,2,2.0,50.0
RG More,2,,100.0
VS Yeligati,2,2.0,100.0
GHS Garton,2,2.0,50.0
Harshit Rana,2,2.0,100.0
Shoaib Akhtar,2,2.0,25.0
Mashrafe Mortaza,2,,100.0
Fazalhaq Farooqi,2,,25.0
H Das,2,2.0,40.0
T Shamsi,2,,50.0
Mohammad Ashraful,2,2.0,16.666666666666664
S Randiv,2,2.0,50.0
T Stubbs,2,1.0,50.0
SB Wagh,2,1.0,66.66666666666666
MA Wood,1,1.0,20.0
P Parameswaran,1,,33.33333333333333
DJ Muthuswami,1,1.0,33.33333333333333
PM Sarvesh Kumar,1,,50.0
HF Gurney,1,,20.0
KK Ahmed,1,0.2,14.285714285714285
M de Lange,1,1.0,50.0
Shoaib Ahmed,1,0.5,16.666666666666664
NJ Rimmington,1,,100.0
SE Bond,1,1.0,50.0
BE Hendricks,1,1.0,33.33333333333333
DP Vijaykumar,1,,100.0
LE Plunkett,1,1.0,33.33333333333333
ND Doshi,0,0.0,0.0
K Yadav,0,,0.0
S Kaushik,0,0.0,0.0
SS Cottrell,0,0.0,0.0
U Kaul,0,,0.0
Yash Dayal,0,0.0,0.0
R Sanjay Yadav,0,0.0,0.0
AS Roy,0,0.0,0.0
YA Abdulla,0,,0.0
Y Prithvi Raj,0,,0.0
L Ablish,0,,0.0
Sunny Gupta,0,0.0,0.0
RP Meredith,0,,0.0
KR Sen,0,,0.0
RR Bhatkal,0,0.0,0.0
IC Pandey,0,0.0,0.0
Abdur Razzak,0,,0.0
JL Denly,0,0.0,0.0
C Nanda,0,0.0,0.0
Akash Deep,0,0.0,0.0
S Ladda,0,0.0,0.0
V Pratap Singh,0,0.0,0.0
S Lamichhane,0,0.0,0.0
